 Study, Year, OR, CI.l, CI.u, N, Interval, group, location, style
 Ball, 2014, 1.07, 0.86, 1.34, 40441, IPI: 0 to 5 months (matched analysis), 1, Perth, normal
 Ball, 2014, 1.04, 0.87, 1.23, 40441, IPI: 6 to 11 months (matched analysis), 2, Perth, normal
 Ball, 2014, 0.87, 0.73, 1.03, 40441, IPI: 12 to 17 months (matched analysis), 3, Perth, normal
 Schachar, 2016, 1.20, 1.13, 1.27, 302706, IPI: 0 to 5 months (matched analysis), 1, California, normal
 Schachar, 2016, 1.14, 1.08, 1.21, 302706, IPI: 6 to 11 months (matched analysis), 2, California, normal
 Schachar, 2016, 1.13, 1.07, 1.19, 302706, IPI: 12 to 17 months (matched analysis), 3, California, normal
 Hanley, 2017, 0.85, 0.71, 1.02, 38178, IPI: 0 to 5 months (matched analysis), 1, British Columbia, normal
 Hanley, 2017, 0.91, 0.79, 1.04, 38178, IPI: 6 to 11 months (matched analysis), 2, British Columbia, normal
 Hanley, 2017, 0.97, 0.84, 1.11, 38178, IPI: 12 to 17 months (matched analysis), 3, British Columbia, normal
 Howard, 2013, 1.15, 1.09, 1.20, Not stated, IPI: not stratified (propensity analysis), 4, Louisiana, normal
